Temp,Load,time,COF
400,1,20,1.241439716
400,1,40,1.518718583
400,1,60,1.720820615
400,1,80,1.883171495
400,1,100,2.019758598
400,1,120,2.137848603
400,1,140,2.241801133
400,1,160,2.334479711
400,1,180,2.417886968
400,1,200,2.493489665
400,1,220,2.562400903
400,1,240,2.625489519
400,1,260,2.683449401
400,1,280,2.736845345
400,1,300,2.786144495
400,1,320,2.83173856
400,1,340,2.873959903
400,1,360,2.913093471
400,1,380,2.949385793
400,1,400,2.983051895
400,2,0,0.4854
400,2,20,1.047436497
400,2,40,1.304710818
400,2,60,1.49606657
400,2,80,1.651138444
400,2,100,1.782058098
400,2,120,1.895283748
400,2,140,1.994763176
400,2,160,2.083129295
400,2,180,2.162247413
400,2,200,2.233499134
400,2,220,2.297943392
400,2,240,2.356414131
400,2,260,2.409582767
400,2,280,2.45799985
400,2,300,2.502123853
400,2,320,2.542341641
400,2,340,2.578983408
400,2,360,2.612333802
400,2,380,2.642640373
400,2,400,2.670120096
400,5,0,0.3667
400,5,20,0.857144673
400,5,40,1.079890371
400,5,60,1.242731078
400,5,80,1.372316643
400,5,100,1.479640539
400,5,120,1.570585403
400,5,140,1.648761477
400,5,160,1.71658437
400,5,180,1.775770139
400,5,200,1.827592874
400,5,220,1.873031163
400,5,240,1.91285713
400,5,260,1.947693487
400,5,280,1.978051648
400,5,300,2.004358109
400,5,320,2.026973235
400,5,340,2.046204987
400,5,360,2.062319157
400,5,380,2.075547151
400,5,400,2.086092004
400,8,0,0.3354
400,8,20,0.770360049
400,8,40,0.983716291
400,8,60,1.141312595
400,8,80,1.266985469
400,8,100,1.370844385
400,8,120,1.458401515
400,8,140,1.533088922
400,8,160,1.597230214
400,8,180,1.65249265
400,8,200,1.700124862
400,8,220,1.741093266
400,8,240,1.776165641
400,8,260,1.805965062
400,8,280,1.831006172
400,8,300,1.851720418
400,8,320,1.86847413
400,8,340,1.881581791
400,8,360,1.891315981
400,8,380,1.897914966
400,8,400,1.901588594
400,11,0,0.3126
400,11,20,0.720447048
400,11,40,0.921395117
400,11,60,1.071224249
400,11,80,1.191931654
400,11,100,1.29280525
400,11,120,1.378893981
400,11,140,1.453334196
400,11,160,1.518245275
400,11,180,1.575145495
400,11,200,1.625170328
400,11,220,1.669197522
400,11,240,1.707923645
400,11,260,1.741913412
400,11,280,1.771632836
400,11,300,1.797472263
400,11,320,1.819762868
400,11,340,1.838788746
400,11,360,1.854795967
400,11,380,1.86799949
400,11,400,1.878588516
600,0.5,0,1.2
600,0.5,20,3.163343272
600,0.5,40,3.538981595
600,0.5,60,3.782383515
600,0.5,80,3.964292174
600,0.5,100,4.109583843
600,0.5,120,4.230217362
600,0.5,140,4.33295381
600,0.5,160,4.422024328
600,0.5,180,4.50026933
600,0.5,200,4.569696598
600,0.5,220,4.631782713
600,0.5,240,4.687648242
